"pending","Pendiente"
"Google API credentials. It is necessary for coordinates and obtaining directions. You must create an account in the google console here: <a href=""https:////console.cloud.google.com"" target=""_blank""> https:////console.cloud.google.com < / a> <br> How to get the API Key <a href=""https://developers.google.com/maps/documentation/javascript/get-api-key"" target=""_blank""> https: // developers. google.com/maps/documentation/javascript/get-api-key </a> <br> And it must have the following APIs <ul> <li> Places API </li> <li> Directions API </li> < li> Geocoding API </li> <li> Maps Javascript API </li> </ul>","Credenciales Google API. Es necesario para las coordenadas y obtener direcciones. Debe crear una cuenta en la consola de google aqui: <a href=""https:////console.cloud.google.com"" target=""_blank"">https:////console.cloud.google.com</a><br>Como obtener la API Key <a href=""https://developers.google.com/maps/documentation/javascript/get-api-key" target=""_blank"">https://developers.google.com/maps/documentation/javascript/get-api-key</a><br>Y debe tener las siguientes API <ul><li>Places API</li><li>Directions API</li><li>Geocoding API</li><li>Maps Javascript API</li></ul>"
"Type the Api key provided by Glovo","Escriba la Api key proporcionada por Glovo"
"Type the Api Secret provided by Glovo","Escriba la Api Secret proporcionada por Glovo"
"Activate Schedule","Activar Horario"
"Activate if you want users to be able to schedule their order","Activar si quiere que los usuarios puedan programar en que horario hacer su pedido"
"Test Mode","Ambiente"
"hours","horas"
"%1 orders were shipped","Se enviaron %1 pedidos"
"%1 orders canceled","Se cancelaron %1 pedidos"
"The coordinates could not be sent to Glovo.","No se pudo a enviar a Glovo no se registro las coordenadas."
"There was a problem in sending the order to Glovo.","Hubo un problema en el envio del pedido a Glovo."
"There was a problem canceling the order to Glovo.","Hubo un problema al cancelar el pedido a Glovo."
"Show shipping method, even if it doesn't apply","Mostrar el método de envío, incluso si no se aplica"
"Glovo is not enabled for this coordinate and/or date.","Glovo no esta habilitado para esta coordenada y/o fecha."
"Glovo is disabled for this day.","Glovo se encuentra deshabilitado para este dia."
"Glovo is not enabled, the products exceed the shipping capacity.","Glovo no esta habilitado, los productos sobrepasan la capacidad para el envio."
"Date","Fecha"
"Preparation","Preparación"
"Hour approx","Hora aprox"
"Choose when you want to receive your order","Elige cuando quieras recibir tu pedido"
"When would you like to receive your order?","¿Cuándo te gustaría recibir tu orden?"
"Address error","Error en dirección"
"place the point in the area","coloque el punto en la zona"
"Send as soon as possible","Enviar lo más pronto posible"
"Preparation Time (hours)","Tiempo de preparación"
"Width (cm)","Ancho (cm)"
"Height (cm)","Altura (cm)"
"Long (cm)","Largo (cm)"
